,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1033,HREC,1,1,9,1,2,,,4,,,,,,1,,,5,,,,2,,,,,,,,,,,,2,,,,,2,,,1,,,1,,,,,3,,,,,,,2,,,,,,,,,,2,,3,2,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,2,,,,,,
1049,HREC,1,1,9,1,4,,,4,,,,,,,,,5,,,1,2,,,,,,,,,,,,2,,,,,3,,,,,,,1,,,,3,,,,,,,1,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
1065,HREC,1,1,9,1,6,,,3,,,,,,1,,,5,,,3,2,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,1,,,,2,,2,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,
1081,HREC,1,1,9,1,8,,,1,,,,,,,,,5,,,2,3,,,,,,,,,,,,2,,,,,,,,1,,,2,,,,1,,1,,1,,,,1,,,,,,1,,,,3,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1089,HREC,1,2,1,1,1,,,2,,,,,,3,,,3,,,,3,,,,,,,2,,2,,,1,,,,,1,,,,,,,1,,,,2,,,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,2,,,2,,,,3,,,,,,,,,,,1,,,,,,,1,,,,,,
1105,HREC,1,2,1,1,3,,,3,,,,,,2,,,3,,,,3,,,,,,,,,,,,2,,,,,2,,,,,,,2,,,2,3,1,,2,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,1,,,,,,,2,,,,,,,,2,,,,,,,2,,,,,,
1121,HREC,1,2,1,1,5,,,4,,,,,,,,,5,,,,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1137,HREC,1,2,1,1,7,,,4,,,,,,1,,3,5,,,,2,,,,,,,1,,,,,3,,,,,,,,,,,1,,,,,2,,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1098,HREC,1,2,10,2,2,,,2,,,,,,1,,30,3,,,,3,,,,,,,,,,,,,,,,,3,,,,,,2,,,,2,3,,,3,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,2,,,2,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,
1114,HREC,1,2,10,2,4,,,3,,,,,,1,,10,5,,,,2,,,,,,,,,2,,,3,,,,,2,,,,,,1,1,,,1,3,,,3,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1130,HREC,1,2,10,2,6,,,3,,,,,,,,,5,,,2,2,,,,,,,,,2,,,2,,,,,,,,1,,,1,,,,1,1,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
1146,HREC,1,2,10,2,8,,,3,,,,,,1,,4,5,,,1,2,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
1099,HREC,1,2,11,3,2,,,2,,,,,,2,,40,2,,,,3,,,,,,,,,2,,,2,,,,,3,,,,,,,1,,,2,3,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
1115,HREC,1,2,11,3,4,,,4,,,,,,1,,,5,,,,2,,,,,,,,,,,,2,,,,,3,,,,,,1,,,,1,2,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,
