Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		N= 49 	242	345	276	724	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 50 	0	34	138	104	345	414	1000	828	621	690	759	621	1242	656	586	621	897	690	2139	1/2 Inch
		Logger Started																				
HREC		N= 1 	345	932	966	1070	932	862	828	897	794	794	724	724	897	932	966	1000	1690	1414	1380	1/2 Inch
		N= 2 	552	862	1070	1070	1138	1311	1138	862	794	794	828	656	656	794	932	1414	2242	2139	1898	1/2 Inch
		N= 3 	966	1070	1000	828	794	483	483	724	690	656	794	1173	1138	1242	1208	1104	1173	1518	1932	1/2 Inch
		N= 4 	897	1138	794	932	1138	621	586	586	656	759	828	932	1000	1242	1242	1138	1104	966	966	1/2 Inch
		N= 5 	794	1242	897	759	690	794	932	2277	0	2277	1966	1863	1828	1898	2139	2312	0	1656	1622	1/2 Inch
		N= 6 	345	448	586	1346	1828	1518	1725	1622	1311	1070	1138	794	828	759	828	932	1070	1173	1242	1/2 Inch
		N= 7 	380	552	966	1690	1622	1760	1828	1656	1346	1794	2898	1518	1208	1000	1138	1242	1242	1104	1173	1/2 Inch
		N= 8 	932	897	759	1380	1380	1070	828	690	552	794	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 9 	448	414	345	483	724	828	621	345	345	276	656	1104	1070	1070	966	932	932	1070	1070	1/2 Inch
		N= 10 	380	897	828	828	586	828	759	724	794	828	828	897	828	724	828	897	1000	1070	1138	1/2 Inch
		N= 11 	690	828	0	552	448	828	1138	966	1000	1000	794	759	862	794	828	897	2864	0	0	1/2 Inch
		N= 12 	34	104	794	932	862	1242	1484	897	724	724	966	897	966	932	862	1000	1380	1587	1276	1/2 Inch
		N= 13 	242	690	862	794	690	724	932	448	483	690	759	759	759	794	1000	1242	1276	0	0	1/2 Inch
		N= 14 	759	828	1104	1138	1000	862	897	794	932	828	794	794	828	759	724	759	828	690	897	1/2 Inch
		N= 15 	207	448	483	380	414	794	1104	897	1104	1070	1138	828	794	932	966	897	966	1138	3312	1/2 Inch
		N= 16 	483	621	552	862	1070	552	621	1000	1104	1104	897	759	656	690	759	794	897	862	897	1/2 Inch
		N= 17 	207	552	0	0	0	0	414	1138	1380	1656	1346	1898	1898	897	794	0	828	794	794	1/2 Inch
		N= 18 	759	759	380	242	242	414	414	345	380	448	483	690	897	932	862	794	483	621	586	1/2 Inch
		N= 19 	104	414	1000	1070	690	1656	2139	2346	2656	2312	1242	1208	1173	897	828	759	690	828	966	1/2 Inch
		N= 20 	414	656	621	483	828	1138	1070	897	897	966	862	759	759	794	1276	1414	1311	1242	1173	1/2 Inch
		N= 21 	207	276	724	932	1173	1138	1311	1380	1311	1104	1104	1104	1070	1000	897	759	759	897	1622	1/2 Inch
		N= 22 	656	656	621	552	759	966	1346	1414	1173	1173	1208	1242	1587	1276	1173	1138	1104	1070	1208	1/2 Inch
		N= 23 	1173	621	586	759	1208	1173	1070	1242	1346	1242	1104	1138	1173	1070	966	966	1173	1242	1208	1/2 Inch
		N= 24 	448	586	656	483	172	0	34	448	828	1104	1104	966	794	690	690	794	794	932	1104	1/2 Inch
