SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,2,1,16,8,2,2,2,1,1,1,3,,2,3,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,ClaPer,GalPar,LupBic,CarPac,DaucPusil,EroCic,TriBif,LatSph,,,,,,,,
HREC,2,1,1,1,3,3,3,,,1,,,,,,,,,,,,,,
HREC,2,1,2,2,3,3,3,3,,1,,,,,,,,,,,,,,
HREC,2,1,3,3,3,2,2,3,,1,,,,,,,,,,,,,,
HREC,2,1,4,4,3,2,3,2,,,,2,,,,,,,,,,,,
HREC,2,1,5,5,3,2,4,1,1,1,,1,,,,,,,,,,,,
HREC,2,1,6,6,3,1,3,2,,1,,3,,,,,,,,,,,,
HREC,2,1,7,7,3,2,3,2,1,,,3,1,,,,,,,,,,,
HREC,2,1,8,8,3,1,2,3,,,1,2,1,,,,,,,,,,,
HREC,2,1,9,1,4,3,3,2,,1,,,2,1,,,,,,,,,,
HREC,2,1,10,2,4,2,2,3,,1,2,,,,,,,,,,,,,
HREC,2,1,11,3,4,2,2,3,,,1,,,,,,,,,,,,,
HREC,2,1,12,4,4,3,2,2,,2,2,,,,,,,,,,,,,
HREC,2,1,13,5,4,2,3,1,,,2,3,,,1,,,,,,,,,
HREC,2,1,14,6,4,2,2,3,,1,,3,1,,,,,,,,,,,
HREC,2,1,15,7,4,2,2,3,,,1,2,,,,1,,,,,,,,
HREC,2,1,16,8,4,3,3,2,,,,2,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,CarPac,LupBic,DaucPusil,GalPar,Bare,EroCic,LatSph,TriCil,TriBif,,,,,,,
HREC,2,1,1,1,5,2,3,2,1,,,,,,,,,,,,,,,
HREC,2,1,2,2,5,2,2,2,1,,,,,,,,,,,,,,,
HREC,2,1,3,3,5,2,1,2,,2,2,1,,,,,,,,,,,,
HREC,2,1,4,4,5,3,2,2,,,,1,,,,,,,,,,,,
HREC,2,1,5,5,5,2,2,1,3,,,,,,,,,,,,,,,
HREC,2,1,6,6,5,2,1,1,3,,,1,5,,,,,,,,,,,
HREC,2,1,7,7,5,2,2,,3,,,1,,1,,,,,,,,,,
HREC,2,1,8,8,5,2,3,2,2,,2,,,,1,,,,,,,,,
HREC,2,1,9,1,6,3,3,,,2,1,,,1,,1,,,,,,,,
HREC,2,1,10,2,6,1,2,1,,1,1,,,1,,,,,,,,,,
HREC,2,1,11,3,6,3,2,1,,,1,,,,,,,,,,,,,
HREC,2,1,12,4,6,3,2,1,,,,,,1,,,,,,,,,,
HREC,2,1,13,5,6,3,3,2,2,,,,,1,,,,,,,,,,
HREC,2,1,14,6,6,2,2,3,3,,,1,4,,,,,,,,,,,
